"id";"lane";"sensor_type";"geom";"direction";"road_section";"num_segment";"nearest_node";"description"
"EP6.2";NULL;"Permanente";"0101000020E6100000A5409BAEE749EDBFB52C5A093AD24440";True;"92741399";0;"919654877";NULL
"EP6.1";NULL;"Permanente";"0101000020E610000091D81AD9E14AEDBFC84D3DBE36D24440";True;"86463019";3;"4816426062";NULL
"EP19.2";NULL;"Permanente";"0101000020E6100000D5D5F2E26E6EECBF16B2571AE8D44440";True;"27966207";0;"260549270";NULL
"EP19.1";NULL;"Permanente";"0101000020E61000005E705596D96BECBFE570E40CEBD44440";True;"116606357";0;"302878200";NULL
"EP13.2";NULL;"Permanente";"0101000020E6100000C0EFD668766CECBFAB640C884CD44440";True;"93052913";0;"5775663191";NULL
"EP13.1";NULL;"Permanente";"0101000020E6100000F67564572E6DECBF6A0F7C534BD44440";True;"93053482";1;"5775663190";NULL
"EP12.1";NULL;"Permanente";"0101000020E6100000D996A531B967ECBFF219220FD7D34440";True;"481017395";1;"4191542585";NULL
"EP11.1";NULL;"Permanente";"0101000020E6100000FB226CC8D997ECBF09747E69C8D34440";True;"92741288";0;"1499292339";NULL
"EP11.2";NULL;"Permanente";"0101000020E610000085FD4105B196ECBF4D0BB6A2C5D34440";True;"15675685";0;"4020429115";NULL
"EP14.1";NULL;"Permanente";"0101000020E610000019EE2940C51AECBFF9BBD15080D24440";True;"206646744";1;"30438472";NULL
"EP14.2";NULL;"Permanente";"0101000020E6100000A8C1DABD9919ECBF6C54596A7ED24440";True;"301696024";1;"1806265391";NULL
"EP7.2";NULL;"Permanente";"0101000020E610000046C759206A4DECBF60A1185AA0D14440";True;"27622416";0;"1267225927";NULL
"EP7.1";NULL;"Permanente";"0101000020E6100000CAD28871C64CECBF66E88A39A0D14440";True;"416725946";0;"267727159";NULL
"EP2.2";NULL;"Permanente";"0101000020E61000006B25D96EA037ECBFCDB469D7ECD14440";True;"31786549";0;"3729170591";NULL
"EP2.1";NULL;"Permanente";"0101000020E6100000428B6844C738ECBF211F3395EBD14440";True;"80468764";0;"3729170592";NULL
"EP15.2";NULL;"Permanente";"0101000020E6100000EA598C43D2FBEBBF70F2E25ADAD14440";True;"24380408";0;"223525780";NULL
"EP15.1";NULL;"Permanente";"0101000020E6100000143EF0A48DF6EBBF94BF3D57DCD14440";True;"679024367";0;"223553081";NULL
"EP5.2";NULL;"Permanente";"0101000020E6100000044FB4DA7994EBBF4C9A5F2EEAD44440";True;"485964575";0;"387126501";NULL
"EP5.1";NULL;"Permanente";"0101000020E61000004BBA9966E394EBBF3B6531F9EBD44440";True;"450843822";0;"920332154";NULL
"EP4.1";NULL;"Permanente";"0101000020E61000007A2DF65BCDABECBF810F495DEED34440";True;"225543297";0;"224244742";NULL
"EP4.2";NULL;"Permanente";"0101000020E6100000C129A9C9DDAAECBF39FB0BB9EBD34440";True;"474014437";0;"249785011";NULL
"EP24.1";NULL;"Permanente";"0101000020E6100000D8B7E857F355EBBF9E09B74B73D44440";True;"53150869";0;"249082396";NULL
"EP24.2";NULL;"Permanente";"0101000020E6100000A752E3DC3E55EBBF9D15ED5A77D44440";True;"49710941";5;"249082391";NULL
"EP25.1";NULL;"Permanente";"0101000020E6100000B031E18A8C78EBBF214859B9EAD14440";True;"23076302";7;"1328388889";NULL
"EP25.2";NULL;"Permanente";"0101000020E610000080ABC2794D77EBBF590D7140EAD14440";True;"23076186";2;"1328388261";NULL
"EP27.1";NULL;"Permanente";"0101000020E6100000A5A0081A0455ECBF0CB7C344E9CF4440";True;"147497939";3;"1490308028";NULL
"EP27.2";NULL;"Permanente";"0101000020E61000003412F6A5F954ECBF4D3BB88BE4CF4440";True;"438131381";1;"249078303";NULL
"EP28.1";NULL;"Permanente";"0101000020E61000001ECB7B1367B5ECBFF0CE35B756D04440";True;"4766180";1;"249077658";NULL
"EP28.2";NULL;"Permanente";"0101000020E61000003192C2A982B5ECBFEB0C82E34ED04440";True;"23075719";0;"249077649";NULL
"EP9.1";NULL;"Permanente";"0101000020E6100000A347159D4CC4ECBFFA6B76A680D24440";True;"671221229";0;"354615121";NULL
"EP26.1";NULL;"Permanente";"0101000020E61000008BBB77ADB2B8EBBF24CF15DDDBD04440";True;"56025575";0;"297499212";NULL
"EP26.2";NULL;"Permanente";"0101000020E6100000A2BA55FA60B8EBBF09199704D7D04440";True;"616107365";0;"248159843";NULL
"EP8.1";NULL;"Permanente";"0101000020E610000097C3E6BDC4F6EBBF0C2A7EB7DDD24440";True;"80347966";0;"598215642";NULL
"EP8.2";NULL;"Permanente";"0101000020E610000089E5E85D04F7EBBFB5A72D96DCD24440";False;"80347966";0;"598215642";NULL
"EP10.1";NULL;"Permanente";"0101000020E61000002A7495A357FBECBF246A2B5FDDD34440";True;"4766240";3;"296952727";NULL
"EP10.2";NULL;"Permanente";"0101000020E6100000924BC6895BFAECBFC998EA4FE1D34440";True;"83010512";0;"296952725";NULL
"EP16.1";NULL;"Permanente";"0101000020E61000006A45CCA9F010EDBF5DFC4DC735D24440";True;"84573318";3;"1394201307";NULL
"EP16.2";NULL;"Permanente";"0101000020E61000001DF204546611EDBF90FD429239D24440";True;"60981885";1;"1394201314";NULL
"EP17.1";NULL;"Permanente";"0101000020E6100000037B3F27BFEFECBFFD3DAB1DE2D24440";False;"681491181";0;"263689601";NULL
"EP17.2";NULL;"Permanente";"0101000020E6100000BD4CA9DEF2EFECBFBACF84EEE3D24440";True;"681491181";0;"263689601";NULL
"EP23.1";NULL;"Permanente";"0101000020E61000006BFD05C9004FEBBF89035F6574D64440";True;"23076450";2;"249083575";NULL
"EP23.2";NULL;"Permanente";"0101000020E6100000BE02C05FED4DEBBFAFD3CE1B73D64440";True;"23076446";0;"249083574";NULL
"EP29.1";NULL;"Permanente";"0101000020E61000003A8E81ED2693EDBF7A514090B7D04440";True;"96334918";0;"249245944";NULL
"EP29.2";NULL;"Permanente";"0101000020E61000006CD92DA5B291EDBF5AD62CA6B7D04440";True;"57741607";0;"263336649";NULL
"EP18.2";NULL;"Permanente";"0101000020E61000006CF341B0B20EEDBF3B828F25D8D24440";True;"48396114";0;"3874380539";NULL
"EP18.1";NULL;"Permanente";"0101000020E6100000DD6D5C43D50FEDBF259BB0FBD6D24440";True;"472068847";1;"259476138";NULL
